"Number of Employed Persons by Major Industry Group (2009 PSIC Code): January 2012 to July 2026"
"Year","Month","TOTAL","AGRICULTURE","Agriculture and forestry","Fishing and aquaculture","INDUSTRY","Mining and quarrying","Manufacturing","Electricity, gas, steam, and air conditioning supply","Water supply; sewerage, waste management  and remediation activities","Construction","SERVICES","Wholesale and retail trade; repair of motor vehicles and motorcycles","Transportation and storage","Accommodation and food service activities","Information and communication","Financial and insurance activities","Real estate activities","Professional, scientific and technical activities","Administrative and support service activities","Public administration and defense; compulsory social security","Education","Human health and social work activities","Arts, entertainment and recreation","Other service activities","Activities of Households as Employers","Activities of extraterritorial organizations and bodies"
"2012","January",37334.180,12112.063,10640.461,1471.602,5515.604,238.583,3023.846,88.088,61.720,2103.367,19706.512,6842.872,2591.698,1619.379,323.100,461.254,166.370,186.529,879.271,1933.051,1254.581,429.069,328.571,2116.586,572.574,1.607
"2012","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","April",37842.022,12467.284,10989.241,1478.043,5859.391,253.589,3145.856,84.101,65.202,2310.643,19515.348,7034.084,2574.096,1363.635,326.042,416.328,167.856,180.150,971.050,1950.847,1145.823,454.794,319.694,2105.477,501.075,4.397
"2012","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","July",37554.580,11635.111,10266.040,1369.071,5905.664,261.502,3168.627,90.629,60.547,2324.359,20013.806,6669.755,2626.816,1786.722,354.989,415.043,195.165,192.268,926.738,1966.762,1199.921,448.247,369.476,2268.650,590.637,2.617
"2012","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","October",37670.023,12156.494,10746.032,1410.462,5691.717,245.900,3111.219,95.023,50.325,2189.250,19821.813,6909.168,2674.876,1515.539,348.004,457.127,152.315,196.658,969.175,1981.295,1199.763,418.482,293.374,2104.595,600.973,0.469
"2012","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","Annual",37600.201,12092.738,10660.444,1432.295,5743.094,249.894,3112.387,89.460,59.449,2231.905,19764.370,6863.970,2616.872,1571.319,338.034,437.438,170.427,188.901,936.559,1957.989,1200.022,437.648,327.779,2148.827,566.315,2.273
"2013","January",37940.024,11541.359,10199.621,1341.739,5866.624,254.615,3165.242,94.087,68.618,2284.063,20532.041,7132.139,2697.632,1567.730,361.058,435.246,218.204,175.142,956.299,1984.295,1213.802,467.177,412.764,2326.770,581.350,2.433
"2013","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","April",37819.069,11844.303,10393.348,1450.955,6084.758,275.706,3185.402,86.073,58.923,2478.654,19890.008,6873.915,2705.714,1626.044,350.491,425.766,156.299,197.297,979.950,2001.253,1168.381,478.958,364.113,2063.916,490.111,7.801
"2013","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","July",38175.187,11807.394,10381.435,1425.959,5966.769,247.443,3139.896,99.502,55.427,2424.501,20401.024,7170.758,2780.430,1552.415,327.605,441.213,154.668,201.495,1057.368,1942.340,1271.856,464.076,299.367,2205.705,529.131,2.598
"2013","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","October",38536.576,12148.493,10740.380,1408.113,5829.467,223.384,3146.886,98.088,57.420,2303.690,20558.615,7245.148,2753.120,1681.373,338.652,490.647,161.302,202.055,1069.398,1933.736,1248.556,465.190,312.775,2158.102,495.887,2.676
"2013","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","Annual",38117.714,11835.387,10428.696,1406.692,5936.905,250.287,3159.357,94.438,60.097,2372.727,20345.422,7105.490,2734.224,1606.891,344.452,448.218,172.618,193.997,1015.754,1965.406,1225.649,468.850,347.255,2188.623,524.120,3.877
"2014","January",36418.495,10947.580,9698.726,1248.854,5778.995,222.394,3078.989,83.228,51.431,2342.954,19691.920,6796.706,2587.043,1541.168,360.102,490.816,176.625,210.663,1041.656,1814.404,1213.363,481.901,353.859,2048.724,574.890,0.000
"2014","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","April",38664.249,11882.583,10484.525,1398.058,6351.520,253.226,3321.771,100.332,52.230,2623.960,20430.147,7284.448,2643.051,1611.006,341.644,493.370,157.287,194.890,1066.024,1942.163,1207.712,478.981,383.182,2139.610,481.177,5.603
"2014","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","July",38452.625,11574.352,10213.823,1360.529,6101.369,239.713,3181.425,77.270,47.900,2555.061,20776.904,7211.891,2677.348,1661.492,369.649,470.547,174.293,216.705,1112.477,1974.400,1288.191,475.000,325.343,2232.154,574.543,12.870
"2014","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","October",38836.894,11947.327,10516.485,1430.842,6048.456,225.322,3133.336,80.349,53.504,2555.944,20841.111,7248.853,2738.302,1810.939,344.874,509.955,171.085,215.085,1076.880,1975.255,1266.983,486.969,338.084,2188.292,467.414,2.141
"2014","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Annual",38651.256,11801.421,10404.944,1396.476,6167.115,239.420,3212.177,85.984,51.211,2578.322,20682.721,7248.397,2686.234,1694.479,352.056,491.291,167.555,208.893,1085.127,1963.939,1254.295,480.317,348.870,2186.685,507.711,6.871
"2015","January",38461.491,11490.280,10180.003,1310.276,6062.934,231.061,3177.424,92.896,42.938,2518.616,20908.277,7252.271,2783.237,1709.297,375.166,499.684,176.177,210.549,1157.875,1978.108,1260.625,468.366,328.829,2189.842,514.225,4.025
"2015","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","April",39158.372,11480.433,10096.872,1383.562,6472.686,254.599,3289.618,83.537,53.857,2791.074,21205.253,7493.799,2751.614,1656.799,408.346,512.802,177.581,216.451,1110.189,2104.311,1265.675,510.654,353.491,2178.034,461.138,4.368
